ONS LA Code,Region/Local Authority,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses and coaches,Other vehicles 2,Total,Diesel Cars,Diesel Vans
K02000001,United Kingdom,"32,493.30","1,265.10","4,127.60",524.6,160.5,793.5,"39,364.60","12,951.40","3,980.80"
K03000001,Great Britain,"31,517.60","1,242.70","4,009.90",500.3,155,758.6,"38,184.00","12,397.60","3,864.40"
E92000001,England,"26,839.20","1,099.70","3,429.70",433.1,129.7,598.6,"32,530.00","10,399.30","3,299.70"
E12000001,North East,"1,132.70",39.3,163,15.1,6,22.6,"1,378.70",473.9,159.8
E06000047,   County Durham UA,239.3,9.1,26.1,4.9,1,6.8,287.1,107.6,25.3
E06000005,   Darlington UA,50.8,2.1,56,0.8,0.3,1,111,22.6,55.8
E06000001,   Hartlepool UA,39.4,1.4,3.4,0.4,0.1,0.5,45.1,16.9,3.3
E06000002,   Middlesbrough UA,54.3,1.4,4,0.5,0.2,0.4,60.9,22.1,3.9
E06000057,   Northumberland UA,161.2,6.3,18,2.1,0.7,7.2,195.5,70.5,17.5
E06000003,   Redcar and Cleveland UA,64.4,2.6,6.4,0.8,0.2,1,75.5,25.9,6.2
E06000004,   Stockton-on-Tees UA,91.3,3,9.1,1.1,0.3,1,105.8,37.3,8.8
E11000007,   Tyne and Wear (Met County),431.8,13.4,40,4.5,3.1,4.6,497.4,170.9,38.9
E08000037,      Gateshead,77.5,2.5,8.1,1.1,1.1,0.7,91.1,30.9,7.9
E08000021,      Newcastle upon Tyne,93.6,2.2,8.1,1,0.4,1.9,107.2,38.2,7.9
E08000022,      North Tyneside,89.4,2.9,9.3,1.1,0.3,0.8,103.7,34.1,9
E08000023,      South Tyneside,59.4,2.2,4.9,0.4,0.1,0.4,67.4,23.1,4.8
E08000024,      Sunderland,111.8,3.6,9.5,0.9,1.3,0.9,128,44.7,9.3
,   Local Authority unknown 3,0.2,0.1,0.1,-,-,0.1,0.5,-,-
E12000002,North West,"3,261.20",118.2,351.9,66.7,15.5,65.5,"3,879.00","1,256.40",341.4
E06000008,   Blackburn with Darwen UA,58.9,1.8,5.9,0.8,0.2,0.7,68.4,25.6,5.8
E06000009,   Blackpool UA,56.7,2.4,5.7,0.3,0.3,0.8,66.3,18.9,5.5
E06000049,   Cheshire East UA,216.7,8.5,22.2,3.2,0.4,5.9,256.9,82.6,21.2
E06000050,   Cheshire West and Chester UA,187.3,8,19.7,2.8,0.5,4.5,222.8,74.2,19.1
E06000006,   Halton UA,62,2.4,6.7,1.5,0.4,0.6,73.5,24.8,6.6
E06000007,   Warrington UA,109.1,4.3,11.2,4.4,0.3,1.8,131,41.8,10.9
E10000006,   Cumbria,257,12.4,39.3,5.6,1.4,16.8,332.6,117.4,38
E07000026,      Allerdale,51,2,7.3,0.8,0.3,3.5,64.9,23.9,7.1
E07000027,      Barrow-in-Furness,29.9,2.1,3.1,0.3,0.1,0.4,35.8,11.5,2.9
E07000028,      Carlisle,53.2,2.2,8.2,1.9,0.6,2.9,69,24.7,8.1
E07000029,      Copeland,34.7,1.8,3.8,0.3,0.1,1.8,42.5,15.2,3.7
E07000030,      Eden,30.5,1.2,6.4,1.5,0.2,4.3,44,16.3,6.2
E07000031,      South Lakeland,57.7,3.1,10.5,0.9,0.2,3.8,76.2,25.8,10.1
,      Local Authority District unknown 3,-,-,-,-,0,-,0.1,-,-
E11000001,   Greater Manchester (Met County),"1,164.70",34.5,113.9,29.4,5.4,10.9,"1,358.70",424.7,111
E08000001,      Bolton,122.3,4.1,12.9,2.4,0.5,1.1,143.2,45.5,12.6
E08000002,      Bury,108.4,2.5,7.8,1,0.2,0.7,120.6,39.5,7.6
E08000003,      Manchester,154.4,3.2,15.5,2.9,0.9,1.5,178.4,57.2,15.1
E08000004,      Oldham,91,2.8,8.8,1,0.9,0.9,105.6,34.2,8.6
E08000005,      Rochdale,89.9,2.7,9,2.3,0.3,0.9,105,34.9,8.8
E08000006,      Salford,92.3,2.7,10.1,1.6,0.3,1,108,32.7,9.8
E08000007,      Stockport,145.3,4.1,12.8,1.2,1.2,1.1,165.8,48.9,12.4
E08000008,      Tameside,97.6,3.3,11.1,10.4,0.3,0.9,123.6,33.9,10.9
E08000009,      Trafford,112.1,2.7,9.2,4.5,0.3,1.2,130.1,40.1,8.9
E08000010,      Wigan,151.3,6.4,16.6,2.1,0.6,1.5,178.4,57.7,16.2
E10000017,   Lancashire,583.8,25.7,69,13.3,2.6,15.9,710.2,240.8,66.7
E07000117,      Burnley,36.8,1.3,4,0.6,0.1,0.5,43.3,15.6,3.9
E07000118,      Chorley,60.4,2.8,7.2,0.9,0.2,1.4,73,25.2,7
E07000119,      Fylde,44,1.7,3.8,0.4,0.1,0.9,50.8,16.2,3.6
E07000120,      Hyndburn,35.8,1.3,4.1,0.7,0.2,0.4,42.4,15.1,4
E07000121,      Lancaster,63,3.2,7.7,1.2,0.3,2.2,77.6,26.1,7.5
